CellID,DNA_6,ELANE,CD57,CD45,DNA_7,CD11B,SMA,CD16,DNA_8,ECAD,FOXP3,NCAM,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
5465,23206.30769230769,1757.0192307692307,482.61538461538464,1330.173076923077,13104.73076923077,1241.923076923077,1641.1346153846155,1095.1153846153845,17595.21153846154,1700.4423076923076,844.9423076923077,1090.0384615384614,1990.2115384615386,1886.75,52,10.076638965900285,6.666159202407844,0.7499046746394454,0.896551724137931,0.7428571428571429,-0.21244755302507026
5466,14700.780373831776,1842.0046728971963,233.96728971962617,383.24766355140184,8301.476635514018,882.6822429906542,456.3411214953271,377.6588785046729,9880.102803738318,1875.4065420560748,263.4626168224299,905.6214953271028,521.7102803738318,1890.056074766355,214,21.08533405791714,13.104770290810988,0.7834053141005921,0.8916666666666667,0.6793650793650794,-1.482510505872979
5467,13795.436781609196,1406.3793103448277,214.58620689655172,832.7586206896551,7799.747126436781,937.6666666666666,535.6551724137931,404.98850574712645,9484.48275862069,2186.229885057471,313.0344827586207,918.6091954022988,545.4827586206897,1887.632183908046,87,11.928986236977106,9.436479939826476,0.6117454969271261,0.8969072164948454,0.6590909090909091,-0.9065781689848156
5468,16226.826086956522,1324.391304347826,281.9782608695652,355.82608695652175,8487.95652173913,1016.6739130434783,1687.9347826086957,484.95652173913044,10980.521739130434,1148.9565217391305,352.8478260869565,933.1304347826087,999.6521739130435,1886.0652173913043,46,9.664202797634257,6.2058397535001335,0.766581442628638,0.8846153846153846,0.6571428571428571,-1.290437905590804
5469,13390.3125,2142.909722222222,229.17361111111111,351.4375,7336.027777777777,907.7569444444445,379.72222222222223,373.53472222222223,9243.319444444445,1096.6041666666667,249.35416666666666,896.9791666666666,1307.3472222222222,1888.8958333333333,144,15.12266479392408,12.346036136997219,0.577496871031916,0.9664429530201343,0.7346938775510204,0.7819028134338709
5470,16661.146341463416,1420.1097560975609,406.3536585365854,359.0731707317073,8795.719512195123,852.5975609756098,513.6951219512196,409.7682926829268,11869.512195121952,1934.9024390243903,282.6219512195122,876.9634146341464,1401.2073170731708,1887.9024390243903,82,11.263485898904209,9.313051787185007,0.5624435907814755,0.9425287356321839,0.6776859504132231,0.8152095448103872
5471,16695.515151515152,2214.25,2736.965909090909,302.6287878787879,9199.662878787878,973.5265151515151,400.52272727272725,386.03409090909093,11843.431818181818,1842.340909090909,303.1136363636364,919.9242424242424,1715.3560606060605,1890.7878787878788,264,24.46049187155413,13.839870121737937,0.8245390419693756,0.9198606271777003,0.6875,1.1609492266440986
5472,10961.506329113925,1544.632911392405,452.8101265822785,292.0379746835443,6238.607594936709,913.6708860759494,724.6455696202531,399.9493670886076,7938.316455696203,1388.2025316455697,554.5443037974684,995.0126582278481,2142.2911392405063,1887.632911392405,79,12.763493718998435,8.423067080444333,0.7513233269797952,0.8586956521739131,0.6528925619834711,-0.6123202934011511
5473,25727.301204819276,1436.55421686747,262.71084337349396,1797.313253012048,15135.66265060241,1564.7228915662652,578.5783132530121,426.8313253012048,17987.265060240963,1948.7228915662652,290.3734939759036,1026.9759036144578,291.28915662650604,1889.2650602409637,83,12.224229283213344,8.671254811441791,0.7048566069606028,0.9431818181818182,0.7545454545454545,-0.482797966336035
5474,10724.529411764706,1372.5098039215686,225.35294117647058,869.0196078431372,6432.921568627451,1433.0392156862745,765.6470588235294,717.9215686274509,7978.666666666667,1555.2941176470588,325.0,919.3137254901961,665.6666666666666,1887.313725490196,51,8.72905430369299,7.502945522201448,0.5110734508271633,0.9444444444444444,0.796875,-0.7566373564162436
5475,9418.64406779661,2201.0,253.07344632768363,367.7401129943503,5179.6949152542375,942.7796610169491,421.3898305084746,381.6497175141243,6596.146892655367,1246.1581920903955,276.8926553672316,929.2203389830509,1285.1525423728813,1889.7457627118645,177,19.403933437710688,12.950212098715443,0.7446981858459887,0.8428571428571429,0.6654135338345865,1.5595981994684827
5476,33170.520833333336,1656.6041666666667,373.6458333333333,2238.5,18877.770833333332,1097.1875,1076.8958333333333,665.6458333333334,24489.583333333332,1356.2291666666667,461.5833333333333,918.7291666666666,1492.2916666666667,1887.6458333333333,48,9.480649666552862,6.76381743873499,0.7007224729904161,0.8727272727272727,0.6,-1.4561880218957153
5477,9649.238636363636,1651.375,483.5113636363636,1248.9431818181818,5218.420454545455,2045.375,851.0568181818181,4332.477272727273,6730.795454545455,1495.5,365.59090909090907,926.8863636363636,1523.875,1889.8295454545455,88,14.447937758365324,7.977037519546516,0.8337627276810108,0.9166666666666666,0.6666666666666666,0.515044344269303
5478,15003.975609756097,1344.4878048780488,281.2317073170732,883.2317073170732,8420.317073170732,1534.0853658536585,507.5121951219512,444.3292682926829,10970.90243902439,1599.8292682926829,303.1585365853659,933.670731707317,1613.0853658536585,1888.8902439024391,82,12.907648704449954,8.457085173627656,0.755455885721674,0.8913043478260869,0.6833333333333333,-1.3056638732720673
5479,13362.0625,1573.8839285714287,622.3839285714286,725.6785714285714,7385.8125,1037.482142857143,497.5267857142857,445.20535714285717,8578.92857142857,4795.598214285715,248.8125,907.2321428571429,306.92857142857144,1890.642857142857,112,23.85727532340893,6.2215725635462436,0.9653974367527569,0.8484848484848485,0.4307692307692308,-1.1050942826713024
5480,15435.8,1379.25,281.51666666666665,701.7166666666667,8556.566666666668,1196.1666666666667,645.6166666666667,843.3166666666667,10921.016666666666,1225.05,747.6666666666666,943.85,1066.5,1888.4,60,9.1049123735313,8.462105963469336,0.3690739189134622,0.9836065573770492,0.9375,0.7214632041174485
5481,19216.15068493151,1259.4246575342465,282.6575342465753,1509.0684931506848,11154.342465753425,911.4794520547945,2144.5342465753424,652.4931506849315,14380.452054794521,1109.9041095890411,334.28767123287673,884.3972602739726,1148.3835616438357,1889.3287671232877,73,12.407904953560825,7.70618157728065,0.7837548404203882,0.9240506329113924,0.6083333333333333,1.0331407873293244
5482,14974.78431372549,1333.0980392156862,288.2352941176471,702.3725490196078,8420.862745098038,1392.2745098039215,1160.0,1876.4313725490197,11255.529411764706,1100.5686274509803,515.8627450980392,935.1372549019608,2027.313725490196,1888.3333333333333,51,10.679684217680958,6.6453303719708705,0.7828262613121667,0.85,0.6375,1.1658984708544484
5483,11695.876811594202,1712.2391304347825,242.768115942029,321.4891304347826,6766.981884057971,837.6340579710145,390.6340579710145,361.5652173913044,7921.166666666667,2267.289855072464,241.3586956521739,894.1847826086956,375.036231884058,1896.0688405797102,276,21.346260770113233,16.589057974341394,0.6293263134948367,0.9387755102040817,0.7301587301587301,-0.5325414850036289
